Vecka,År,Region,Antal vaccinerade,Andel vaccinerade,Vaccinationsstatus,,,
02,2021,Östergötland,6800,0.017618,Minst 1 dos,,,
02,2021,Östergötland,0,0.000000,Färdigvaccinerade,,,
02,2021,Jönköping,6951,0.023313,Minst 1 dos,,,
02,2021,Jönköping,0,0.000000,Färdigvaccinerade,,,
02,2021,Kronoberg,2274,0.013758,Minst 1 dos,,,
02,2021,Kronoberg,0,0.000000,Färdigvaccinerade,,,
02,2021,Kalmar,4513,0.021984,Minst 1 dos,,,
02,2021,Kalmar,0,0.000000,Färdigvaccinerade,,,
02,2021,Gotland,1180,0.023200,Minst 1 dos,,,
02,2021,Gotland,0,0.000000,Färdigvaccinerade,,,
02,2021,Blekinge,2842,0.021455,Minst 1 dos,,,
02,2021,Blekinge,0,0.000000,Färdigvaccinerade,,,
02,2021,Skåne,14993,0.013191,Minst 1 dos,,,
02,2021,Skåne,0,0.000000,Färdigvaccinerade,,,
02,2021,Halland,2957,0.010720,Minst 1 dos,,,
02,2021,Halland,0,0.000000,Färdigvaccinerade,,,
02,2021,Västra Götaland,17139,0.011997,Minst 1 dos,,,
02,2021,Västra Götaland,8,0.000006,Färdigvaccinerade,,,
02,2021,Värmland,2639,0.011150,Minst 1 dos,,,
02,2021,Värmland,0,0.000000,Färdigvaccinerade,,,
02,2021,Örebro,5668,0.022521,Minst 1 dos,,,
02,2021,Örebro,0,0.000000,Färdigvaccinerade,,,
02,2021,Västmanland,5820,0.025484,Minst 1 dos,,,
02,2021,Västmanland,0,0.000000,Färdigvaccinerade,,,
02,2021,Dalarna,3207,0.013423,Minst 1 dos,,,
02,2021,Dalarna,0,0.000000,Färdigvaccinerade,,,
02,2021,Gävleborg,4703,0.019611,Minst 1 dos,,,
02,2021,Gävleborg,0,0.000000,Färdigvaccinerade,,,
02,2021,Västernorrland,4851,0.023769,Minst 1 dos,,,
02,2021,Västernorrland,0,0.000000,Färdigvaccinerade,,,
02,2021,Jämtland,2162,0.019843,Minst 1 dos,,,
02,2021,Jämtland,0,0.000000,Färdigvaccinerade,,,
02,2021,Västerbotten,3390,0.014924,Minst 1 dos,,,
02,2021,Västerbotten,0,0.000000,Färdigvaccinerade,,,
02,2021,Norrbotten,3520,0.016672,Minst 1 dos,,,
02,2021,Norrbotten,0,0.000000,Färdigvaccinerade,,,
03,2021,| Sverige |,235896,0.027618,Minst 1 dos,,,
03,2021,| Sverige |,10778,0.001262,Färdigvaccinerade,,,
03,2021,Stockholm,34892,0.017882,Minst 1 dos,,,
03,2021,Stockholm,2118,0.001085,Färdigvaccinerade,,,
03,2021,Uppsala,7799,0.024418,Minst 1 dos,,,
03,2021,Uppsala,171,0.000535,Färdigvaccinerade,,,
03,2021,Södermanland,10626,0.043378,Minst 1 dos,,,
03,2021,Södermanland,816,0.003331,Färdigvaccinerade,,,
03,2021,Östergötland,11419,0.029585,Minst 1 dos,,,
03,2021,Östergötland,2056,0.005327,Färdigvaccinerade,,,
03,2021,Jönköping,10363,0.034757,Minst 1 dos,,,
03,2021,Jönköping,890,0.002985,Färdigvaccinerade,,,
03,2021,Kronoberg,4255,0.025742,Minst 1 dos,,,
03,2021,Kronoberg,203,0.001228,Färdigvaccinerade,,,
03,2021,Kalmar,8157,0.039736,Minst 1 dos,,,
03,2021,Kalmar,288,0.001403,Färdigvaccinerade,,,
03,2021,Gotland,2202,0.043293,Minst 1 dos,,,
03,2021,Gotland,191,0.003755,Färdigvaccinerade,,,
03,2021,Blekinge,4232,0.031949,Minst 1 dos,,,
03,2021,Blekinge,286,0.002159,Färdigvaccinerade,,,
03,2021,Skåne,28712,0.025261,Minst 1 dos,,,
03,2021,Skåne,339,0.000298,Färdigvaccinerade,,,
03,2021,Halland,7147,0.025910,Minst 1 dos,,,
03,2021,Halland,185,0.000671,Färdigvaccinerade,,,
03,2021,Västra Götaland,39987,0.027990,Minst 1 dos,,,
03,2021,Västra Götaland,438,0.000307,Färdigvaccinerade,,,
03,2021,Värmland,6532,0.027599,Minst 1 dos,,,
03,2021,Värmland,178,0.000752,Färdigvaccinerade,,,
03,2021,Örebro,9529,0.037863,Minst 1 dos,,,
03,2021,Örebro,805,0.003199,Färdigvaccinerade,,,
03,2021,Västmanland,8997,0.039395,Minst 1 dos,,,
03,2021,Västmanland,249,0.001090,Färdigvaccinerade,,,
03,2021,Dalarna,10015,0.041918,Minst 1 dos,,,
03,2021,Dalarna,171,0.000716,Färdigvaccinerade,,,
03,2021,Gävleborg,7121,0.029694,Minst 1 dos,,,
03,2021,Gävleborg,645,0.002690,Färdigvaccinerade,,,
03,2021,Västernorrland,7885,0.038635,Minst 1 dos,,,
03,2021,Västernorrland,190,0.000931,Färdigvaccinerade,,,
03,2021,Jämtland,3524,0.032344,Minst 1 dos,,,
03,2021,Jämtland,162,0.001487,Färdigvaccinerade,,,
03,2021,Västerbotten,5644,0.024848,Minst 1 dos,,,
03,2021,Västerbotten,190,0.000836,Färdigvaccinerade,,,
03,2021,Norrbotten,6858,0.032483,Minst 1 dos,,,
03,2021,Norrbotten,207,0.000980,Färdigvaccinerade,,,
04,2021,| Sverige |,300673,0.035201,Minst 1 dos,,,
04,2021,| Sverige |,36980,0.004329,Färdigvaccinerade,,,
04,2021,Stockholm,44791,0.022955,Minst 1 dos,,,
04,2021,Stockholm,6741,0.003455,Färdigvaccinerade,,,
04,2021,Uppsala,10554,0.033044,Minst 1 dos,,,
04,2021,Uppsala,1161,0.003635,Färdigvaccinerade,,,
04,2021,Södermanland,11569,0.047228,Minst 1 dos,,,
04,2021,Södermanland,2581,0.010536,Färdigvaccinerade,,,
04,2021,Östergötland,14472,0.037494,Minst 1 dos,,,
04,2021,Östergötland,3797,0.009837,Färdigvaccinerade,,,
04,2021,Jönköping,13170,0.044171,Minst 1 dos,,,
