Vecka,År,Region,Antal vaccinerade,Andel vaccinerade,Vaccinationsstatus,,,
03,2021,Blekinge,286,0.002159,Färdigvaccinerade,,,
03,2021,Skåne,28712,0.025261,Minst 1 dos,,,
03,2021,Skåne,339,0.000298,Färdigvaccinerade,,,
03,2021,Halland,7148,0.025914,Minst 1 dos,,,
03,2021,Halland,185,0.000671,Färdigvaccinerade,,,
03,2021,Västra Götaland,39996,0.027996,Minst 1 dos,,,
03,2021,Västra Götaland,439,0.000307,Färdigvaccinerade,,,
03,2021,Värmland,6536,0.027616,Minst 1 dos,,,
03,2021,Värmland,178,0.000752,Färdigvaccinerade,,,
03,2021,Örebro,9529,0.037863,Minst 1 dos,,,
03,2021,Örebro,805,0.003199,Färdigvaccinerade,,,
03,2021,Västmanland,8998,0.039400,Minst 1 dos,,,
03,2021,Västmanland,249,0.001090,Färdigvaccinerade,,,
03,2021,Dalarna,10016,0.041922,Minst 1 dos,,,
03,2021,Dalarna,170,0.000712,Färdigvaccinerade,,,
03,2021,Gävleborg,7122,0.029698,Minst 1 dos,,,
03,2021,Gävleborg,645,0.002690,Färdigvaccinerade,,,
03,2021,Västernorrland,7884,0.038630,Minst 1 dos,,,
03,2021,Västernorrland,190,0.000931,Färdigvaccinerade,,,
03,2021,Jämtland,3523,0.032335,Minst 1 dos,,,
03,2021,Jämtland,162,0.001487,Färdigvaccinerade,,,
03,2021,Västerbotten,5645,0.024852,Minst 1 dos,,,
03,2021,Västerbotten,190,0.000836,Färdigvaccinerade,,,
03,2021,Norrbotten,6860,0.032492,Minst 1 dos,,,
03,2021,Norrbotten,207,0.000980,Färdigvaccinerade,,,
04,2021,| Sverige |,300698,0.035204,Minst 1 dos,,,
04,2021,| Sverige |,36968,0.004328,Färdigvaccinerade,,,
04,2021,Stockholm,44799,0.022959,Minst 1 dos,,,
04,2021,Stockholm,6742,0.003455,Färdigvaccinerade,,,
04,2021,Uppsala,10553,0.033041,Minst 1 dos,,,
04,2021,Uppsala,1158,0.003626,Färdigvaccinerade,,,
04,2021,Södermanland,11565,0.047211,Minst 1 dos,,,
04,2021,Södermanland,2581,0.010536,Färdigvaccinerade,,,
04,2021,Östergötland,14476,0.037505,Minst 1 dos,,,
04,2021,Östergötland,3791,0.009822,Färdigvaccinerade,,,
04,2021,Jönköping,13170,0.044171,Minst 1 dos,,,
04,2021,Jönköping,1420,0.004763,Färdigvaccinerade,,,
04,2021,Kronoberg,5346,0.032343,Minst 1 dos,,,
04,2021,Kronoberg,1137,0.006879,Färdigvaccinerade,,,
04,2021,Kalmar,11486,0.055953,Minst 1 dos,,,
04,2021,Kalmar,1778,0.008661,Färdigvaccinerade,,,
04,2021,Gotland,4122,0.081041,Minst 1 dos,,,
04,2021,Gotland,395,0.007766,Färdigvaccinerade,,,
04,2021,Blekinge,5563,0.041997,Minst 1 dos,,,
04,2021,Blekinge,1408,0.010629,Färdigvaccinerade,,,
04,2021,Skåne,39103,0.034403,Minst 1 dos,,,
04,2021,Skåne,1400,0.001232,Färdigvaccinerade,,,
04,2021,Halland,10585,0.038374,Minst 1 dos,,,
04,2021,Halland,316,0.001146,Färdigvaccinerade,,,
04,2021,Västra Götaland,48781,0.034145,Minst 1 dos,,,
04,2021,Västra Götaland,2234,0.001564,Färdigvaccinerade,,,
04,2021,Värmland,10058,0.042497,Minst 1 dos,,,
04,2021,Värmland,1055,0.004458,Färdigvaccinerade,,,
04,2021,Örebro,10906,0.043334,Minst 1 dos,,,
04,2021,Örebro,1935,0.007689,Färdigvaccinerade,,,
04,2021,Västmanland,10330,0.045232,Minst 1 dos,,,
