Fil uppdaterad 210916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Planerat kommande två veckor ,,,
År,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
Vecka, 52 , 53 , 1 , 2 , 2 , 3 , 4 , 5 , 5 , 6 , 6 , 6 , 7 , 7 , 8 , 8 , 9 , 9 , 9 , 10 , 10 , 11 , 11 , 11 , 12 , 12 , 13 , 13 , 13 , 14 , 14 , 15 , 15 , 15 , 16 , 16 , 17 , 17 , 17 , 18 , 18 , 18 , 19 , 19 , 20 , 20 , 20 , 21 , 21 , 21 , 22 , 22 , 23 , 23 , 24 , 24 , 25 , 25 , 26 , 26 , 27 , 27 , 28 , 28 , 29 , 29 , 30 , 30 , 31 , 31 , 32 , 32 , 33 , 33 , 34 , 34 , 35 , 35 , 36 , 37 , 37 , 38 , 38 , 39 , 39 
Leverantör,  Pfizer/BioNTech ,  Pfizer/BioNTech ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech ,  Pfizer/BioNTech ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech , Moderna , AstraZeneca ,  Pfizer/BioNTech , AstraZeneca ,  Pfizer/BioNTech , AstraZeneca ,  Pfizer/BioNTech , Moderna , AstraZeneca ,  Pfizer/BioNTech , AstraZeneca ,  Pfizer/BioNTech , Moderna , AstraZeneca ,  Pfizer/BioNTech , AstraZeneca ,  Pfizer/BioNTech , Moderna , AstraZeneca ,  Pfizer/BioNTech , AstraZeneca ,  Pfizer/BioNTech , Moderna , AstraZeneca ,  Pfizer/BioNTech , AstraZeneca ,  Pfizer/BioNTech , Moderna , AstraZeneca ,  Pfizer/BioNTech , Moderna , AstraZeneca ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech , Moderna , AstraZeneca ,  Pfizer/BioNTech , Moderna , AstraZeneca ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech 
  Jönköping , 400 ," 2,925 "," 2,925 ", 400 ," 2,925 "," 2,925 "," 1,950 ", 600 ," 3,510 "," 1,200 "," 1,700 "," 3,510 "," 2,000 "," 4,680 "," 3,500 "," 4,680 "," 2,200 "," 3,200 "," 4,680 "," 4,700 "," 4,680 "," 2,000 "," 1,900 "," 4,680 "," 1,000 "," 5,850 "," 3,000 "," 1,000 "," 5,850 "," 9,200 "," 10,530 "," 2,600 "," 1,100 "," 11,700 "," 3,000 "," 11,700 "," 1,500 "," 8,200 "," 15,210 "," 1,600 "," 4,000 "," 11,700 "," 2,300 "," 11,700 "," 2,300 ", -   ," 12,870 "," 2,300 ", -   ," 12,870 "," 2,300 "," 19,890 "," 2,300 "," 17,550 "," 2,200 "," 17,550 "," 2,500 "," 24,570 "," 2,600 "," 22,230 "," 3,100 "," 12,870 "," 3,500 "," 12,870 "," 3,500 "," 12,870 "," 3,500 "," 12,870 "," 3,500 "," 11,700 "," 3,800 "," 11,700 "," 3,500 "," 14,040 "," 16,400 "," 16,380 "," 17,900 "," 16,380 "," 26,910 ", -   ," 10,530 ", -   , -   , -   , -   
  Kalmar  , 400 ," 1,950 "," 2,925 ", 300 ," 2,925 "," 2,925 ", 975 , 500 ," 2,340 ", 900 ," 1,400 "," 2,340 "," 1,700 "," 3,510 "," 2,800 "," 3,510 "," 1,800 "," 2,600 "," 3,510 "," 4,000 "," 3,510 "," 1,600 "," 1,600 "," 3,510 ", 800 ," 4,680 "," 2,400 ", 800 ," 5,850 "," 7,500 "," 9,360 "," 2,100 ", 900 ," 8,190 "," 2,400 "," 9,360 "," 1,200 "," 6,500 "," 12,870 "," 1,100 "," 9,000 "," 8,190 "," 1,600 "," 8,190 "," 1,500 "," 4,800 "," 8,190 "," 1,500 ", -   ," 8,190 "," 1,500 "," 14,040 "," 1,500 "," 11,700 "," 1,500 "," 11,700 "," 1,600 "," 14,040 "," 1,700 "," 15,210 "," 2,000 "," 8,190 "," 2,300 "," 8,190 "," 2,300 "," 8,190 "," 2,300 "," 9,360 "," 2,300 "," 7,020 ", -   ," 8,190 "," 2,300 "," 8,190 "," 7,000 "," 8,190 "," 12,500 "," 9,360 "," 9,360 "," 2,500 "," 2,340 ", -   ," 1,170 "," 2,700 "," 3,510 "
  Kronoberg , 400 ," 1,950 "," 1,950 ", 200 ," 1,950 "," 1,950 ", 975 , 300 ," 2,340 ", 600 , 900 ," 2,340 "," 1,200 "," 2,340 "," 1,900 "," 2,340 "," 1,200 "," 1,800 "," 1,170 "," 2,700 "," 2,340 "," 1,100 "," 1,200 "," 2,340 ", 500 ," 3,510 "," 1,800 ", 600 ," 3,510 "," 5,500 "," 5,850 "," 1,500 ", 600 ," 5,850 "," 1,700 "," 5,850 ", 800 ," 4,300 "," 9,360 ", 900 ," 8,800 "," 7,020 "," 1,300 "," 7,020 "," 1,200 ", -   ," 7,020 "," 1,300 ", -   ," 7,020 "," 1,200 "," 11,700 "," 1,300 "," 10,530 "," 1,300 "," 10,530 "," 1,400 "," 11,700 "," 1,500 "," 11,700 "," 1,700 "," 7,020 "," 2,000 "," 7,020 "," 2,000 "," 7,020 "," 2,000 "," 7,020 "," 1,800 "," 5,850 "," 2,000 "," 7,020 "," 2,000 "," 8,190 "," 5,000 "," 8,190 "," 5,200 "," 9,360 "," 5,850 "," 1,500 "," 3,510 ", -   ," 2,340 "," 1,500 "," 2,340 "
  Norrbotten , 400 ," 1,950 "," 2,925 ", 300 ," 2,925 "," 2,925 ", 975 , 500 ," 2,340 ", 900 ," 1,300 "," 2,340 "," 1,600 "," 3,510 "," 2,700 "," 3,510 "," 1,700 "," 2,500 "," 3,510 "," 3,800 "," 3,510 "," 1,600 "," 1,600 "," 3,510 ", 800 ," 4,680 "," 2,400 ", 800 ," 4,680 "," 7,400 "," 8,190 "," 2,100 ", 900 ," 9,360 "," 2,400 "," 9,360 "," 1,200 "," 6,700 "," 11,700 "," 1,100 "," 9,400 "," 9,360 "," 1,700 "," 9,360 "," 1,600 ", -   ," 8,190 "," 1,600 "," 1,900 "," 8,190 "," 1,600 "," 15,210 "," 1,600 "," 11,700 "," 1,600 "," 12,870 "," 1,900 "," 15,210 "," 1,500 "," 16,380 "," 2,100 "," 9,360 "," 2,400 "," 8,190 "," 2,400 "," 8,190 "," 2,400 "," 8,190 "," 4,400 "," 8,190 "," 4,800 "," 8,190 "," 2,400 "," 9,360 "," 8,500 "," 12,870 "," 5,300 "," 9,360 "," 11,700 "," 2,300 "," 2,340 ", -   ," 5,850 "," 2,400 "," 2,340 "
  Skåne  , 850 ," 9,750 "," 10,725 "," 1,400 "," 11,700 "," 4,875 "," 12,675 "," 2,000 "," 11,700 "," 4,100 "," 6,000 "," 12,870 "," 7,100 "," 15,210 "," 12,200 "," 15,210 "," 7,700 "," 11,300 "," 16,380 "," 16,800 "," 17,550 "," 7,000 "," 6,900 "," 17,550 "," 3,400 "," 22,230 "," 10,500 "," 3,400 "," 22,230 "," 32,900 "," 38,610 "," 9,200 "," 4,100 "," 38,610 "," 10,500 "," 38,610 "," 5,300 "," 29,600 "," 53,820 "," 6,000 "," 58,400 "," 46,800 "," 8,900 "," 46,800 "," 9,000 ", -   ," 49,140 "," 9,000 "," 2,700 "," 49,140 "," 9,000 "," 79,560 "," 9,000 "," 70,200 "," 9,000 "," 70,200 "," 9,600 "," 88,920 "," 10,200 "," 88,920 "," 12,000 "," 49,140 "," 13,800 "," 49,140 "," 13,800 "," 49,140 "," 13,800 "," 49,140 "," 13,600 "," 46,800 "," 13,600 "," 46,800 "," 13,700 "," 52,650 "," 30,400 "," 54,990 "," 26,200 "," 58,500 "," 17,550 ", -   ," 58,500 ", -   ," 58,500 ", -   ," 98,280 "
  Stockholm , 850 ," 13,650 "," 15,600 "," 1,900 "," 16,575 "," 7,800 "," 14,625 "," 2,800 "," 17,550 "," 6,100 "," 8,300 "," 16,380 "," 9,900 "," 21,060 "," 17,000 "," 22,230 "," 10,700 "," 15,700 "," 23,400 "," 23,700 "," 24,570 "," 9,800 "," 9,700 "," 24,570 "," 4,800 "," 30,420 "," 14,600 "," 5,000 "," 30,420 "," 46,300 "," 54,990 "," 13,000 "," 5,700 "," 54,990 "," 14,800 "," 53,820 "," 7,500 "," 41,100 "," 76,050 "," 10,400 "," 97,500 "," 80,730 "," 15,300 "," 80,730 "," 16,300 "," 6,500 "," 90,090 "," 16,300 "," 1,000 "," 90,090 "," 16,300 "," 143,910 "," 16,300 "," 127,530 "," 16,300 "," 127,530 "," 17,500 "," 161,460 "," 18,600 "," 161,460 "," 21,800 "," 90,090 "," 25,100 "," 90,090 "," 25,100 "," 90,090 "," 25,200 "," 90,090 "," 23,800 "," 84,240 "," 24,800 "," 84,240 "," 24,800 "," 97,110 "," 62,800 "," 100,620 "," 60,000 "," 95,940 "," 132,210 "," 30,000 "," 104,130 ", -   ," 104,130 "," 30,000 "," 152,100 "
  Södermanland , 400 ," 2,925 "," 2,925 ", 400 ," 2,925 "," 2,925 ", 975 , 500 ," 3,510 "," 1,000 "," 1,500 "," 3,510 "," 1,800 "," 3,510 "," 3,100 "," 3,510 "," 1,900 "," 2,800 "," 4,680 "," 4,200 "," 4,680 "," 1,800 "," 1,600 "," 4,680 ", 900 ," 5,850 "," 2,600 ", 800 ," 5,850 "," 8,100 "," 9,360 "," 2,300 "," 1,000 "," 9,360 "," 2,600 "," 9,360 "," 1,300 "," 7,800 "," 12,870 "," 1,300 "," 5,000 "," 10,530 "," 1,900 "," 10,530 "," 1,800 ", -   ," 10,530 "," 1,800 ", -   ," 9,360 "," 1,800 "," 14,040 "," 1,800 "," 14,040 "," 1,800 "," 14,040 "," 2,000 "," 18,720 "," 2,200 "," 18,720 "," 2,500 "," 9,360 "," 2,800 "," 10,530 "," 2,800 "," 9,360 "," 2,800 "," 10,530 "," 2,800 "," 9,360 "," 2,800 "," 9,360 "," 2,800 "," 11,700 "," 9,400 "," 12,870 "," 5,400 "," 10,530 "," 11,700 ", -   , -   , -   , -   , -   , -   
  Uppsala  , 400 ," 2,925 "," 2,925 ", 400 ," 2,925 "," 2,925 "," 1,950 ", 500 ," 3,510 "," 1,100 "," 1,600 "," 3,510 "," 1,900 "," 3,510 "," 3,200 "," 3,510 "," 2,000 "," 3,000 "," 4,680 "," 4,400 "," 4,680 "," 1,900 "," 1,800 "," 4,680 ", 900 ," 5,850 "," 2,800 ", 800 ," 5,850 "," 8,700 "," 10,530 "," 2,400 "," 1,100 "," 9,360 "," 2,800 "," 9,360 "," 1,400 "," 7,600 "," 14,040 "," 1,700 "," 16,700 "," 12,870 "," 2,500 "," 12,870 "," 2,600 ", -   ," 14,040 "," 2,600 ", -   ," 14,040 "," 2,600 "," 23,400 "," 2,600 "," 19,890 "," 2,500 "," 19,890 "," 2,700 "," 25,740 "," 2,900 "," 25,740 "," 3,400 "," 14,040 "," 3,900 "," 14,040 "," 3,900 "," 14,040 "," 3,400 "," 14,040 "," 3,900 "," 12,870 "," 3,000 "," 12,870 "," 3,000 "," 15,210 "," 4,000 "," 15,210 "," 7,500 "," 15,210 "," 15,210 ", -   ," 9,360 ", -   ," 9,360 ", -   ," 8,190 "
  Värmland , 400 ," 2,925 "," 2,925 ", 400 ," 4,875 "," 2,925 "," 1,950 ", 500 ," 1,170 "," 1,000 "," 1,500 "," 3,510 "," 1,800 "," 3,510 "," 3,100 "," 3,510 "," 1,900 "," 2,800 "," 3,510 "," 4,200 "," 4,680 "," 1,800 "," 1,700 "," 4,680 ", 900 ," 5,850 "," 2,600 ", 900 ," 5,850 "," 8,200 "," 10,530 "," 2,300 "," 1,000 "," 9,360 "," 2,600 "," 8,190 "," 1,300 "," 7,600 "," 12,870 "," 1,300 "," 8,000 "," 9,360 "," 1,900 "," 9,360 "," 1,800 ", -   ," 9,360 "," 1,800 ", -   ," 10,530 "," 1,800 "," 16,380 "," 1,700 "," 14,040 "," 1,800 "," 14,040 "," 1,900 "," 17,550 "," 2,000 "," 16,380 "," 2,400 "," 10,530 "," 2,700 "," 9,360 "," 2,700 "," 9,360 "," 2,700 "," 10,530 "," 2,600 "," 8,190 "," 2,700 "," 8,190 "," 2,700 "," 10,530 "," 6,200 "," 11,700 "," 5,200 "," 10,530 "," 4,680 ", -   ," 1,170 ", -   , -   , -   ," 1,170 "
  Västerbotten , 400 ," 1,950 "," 1,950 ", 300 ," 1,950 "," 1,950 "," 1,950 ", 400 ," 2,340 ", 900 ," 1,300 "," 2,340 "," 1,500 "," 3,510 "," 2,600 "," 3,510 "," 1,600 "," 2,400 "," 4,680 "," 3,600 "," 4,680 "," 1,500 "," 1,400 "," 3,510 ", 700 ," 4,680 "," 2,200 ", 700 ," 4,680 "," 7,100 "," 8,190 "," 2,000 ", 900 ," 7,020 "," 2,300 "," 9,360 "," 1,100 "," 6,100 "," 11,700 "," 1,200 "," 12,200 "," 9,360 "," 1,800 "," 8,190 "," 1,800 ", -   ," 9,360 "," 1,800 ", -   ," 10,530 "," 1,800 "," 15,210 "," 1,800 "," 14,040 "," 1,800 "," 14,040 "," 2,200 "," 17,550 "," 1,700 "," 16,380 "," 2,400 "," 10,530 "," 2,600 "," 10,530 "," 2,600 "," 9,360 "," 2,600 "," 9,360 "," 2,600 "," 9,360 "," 4,800 "," 8,190 "," 5,900 "," 10,530 "," 10,900 "," 15,210 "," 12,900 "," 14,040 "," 8,190 "," 7,800 "," 4,680 ", -   ," 8,190 "," 7,900 "," 3,510 "
